run_id,started_at,ended_at,mode,target_rate_qps,arrival_distribution,duration_seconds,warmup_seconds,notes,target,p95_median_ms,p99_median_ms,p95_max_ms,total_samples,total_failures
2026-05-27T21:16:10Z-q8refactored-medallion-cachebust-4a0a5971,2026-05-27 21:16:10.789000+00:00,2026-05-27 21:17:29.228000+00:00,sustained,10.0,poisson,300,30,backfilled from system.query.history; first-30s cold cut; q8_refactored @ 10.0qps,dbsql,977.0,1419.0,977.0,248,0
2026-05-27T19:29:30Z-q8shape-backfill-1592756a,2026-05-27 19:29:30.126000+00:00,2026-05-27 19:46:36.342000+00:00,sustained,1.0,poisson,600,90,backfilled from system.query.history; cold-start filtered; q8_shape@1qps,dbsql,21777.0,38241.0,21777.0,180,0
2026-05-20T20:13:01Z,2026-05-20 21:12:06.185199+00:00,2026-05-20 21:12:06.185199+00:00,sustained,1.0,sequential,600,90,Q8 redline iter-2 — 30B GL rows / 1.22 TB silver. Q8a-shape did not complete in >2 hours on Medium Pro 1-8 (cancelled). Refactored variant returns same answer in 387ms.,dbsql,400.99,3425.28,23492.91,13,0
2026-05-20T19:21:58Z,2026-05-20 19:21:59.641578+00:00,2026-05-20 19:21:59.641578+00:00,sustained,1.0,sequential,600,90,"Q8 redline focused — 193 GB silver, 5B GL rows. Architectural delta proof. Q8b-shape pending CROSS-JOIN fix.",dbsql,380.0,458.0,8487.12,7,0
2026-04-28T16:26:36Z,2026-04-28 16:26:36+00:00,2026-04-28 16:38:06+00:00,sustained,1.0,poisson,600,90,5/10 redesign — sustained_worst_case_q7 | sustained scenario=sustained_worst_case_q7,dbsql,858.7340727352414,2043.0596475907043,858.7340727352414,644,0
2026-04-28T15:55:53Z,2026-04-28 15:55:53+00:00,2026-04-28 16:23:54+00:00,sustained,20.0,poisson,600,90,5/10 redesign — sustained_scale_4x | sustained scenario=sustained_scale_4x,lakebase,158.5316078796779,305.43795820051815,267.25492361120746,12050,6
2026-04-28T15:55:53Z,2026-04-28 15:55:53+00:00,2026-04-28 16:23:54+00:00,sustained,20.0,poisson,600,90,5/10 redesign — sustained_scale_4x | sustained scenario=sustained_scale_4x,dbsql,15625.287065227327,17270.091927492977,15832.527465050902,12008,0
2026-04-28T15:32:45Z,2026-04-28 15:32:45+00:00,2026-04-28 15:44:44+00:00,sustained,10.0,poisson,600,90,5/10 redesign — sustained_headroom_2x (backfilled from results/20260428_153245),lakebase,176.93475737084654,268.08513791869865,274.4222034554922,6005,1
2026-04-28T15:32:45Z,2026-04-28 15:32:45+00:00,2026-04-28 15:44:44+00:00,sustained,10.0,poisson,600,90,5/10 redesign — sustained_headroom_2x (backfilled from results/20260428_153245),dbsql,650.8551819003485,838.5288007658158,749.9861666632341,6082,0
2026-04-28T15:09:02Z,2026-04-28 15:09:02+00:00,2026-04-28 15:32:03+00:00,sustained,5.0,poisson,600,90,5/10 redesign — sustained_peak | sustained scenario=sustained_peak,lakebase,117.62664522099728,261.09240737146837,215.92616887305667,3045,1
2026-04-28T15:09:02Z,2026-04-28 15:09:02+00:00,2026-04-28 15:32:03+00:00,sustained,5.0,poisson,600,90,5/10 redesign — sustained_peak | sustained scenario=sustained_peak,dbsql,1044.6008350946272,3098.0858196678173,77047.91646072244,2991,0
